20140102,58671200
20140103,98116900
20140106,103152700
20140107,79302300
20140108,64632400
20140109,69787200
20140110,76244000
20140113,94623200
20140114,83140400
20140115,97909700
20140116,57319500
20140117,106684900
20140121,82131700
20140122,94996300
20140123,100809800
20140124,107338700
20140127,138719700
20140128,266380800
20140129,125702500
20140130,169625400
20140131,116199300
20140203,100366000
20140204,94170300
20140205,82086200
20140206,64441300
20140207,92570100
20140210,86389800
20140211,70564200
20140212,77025200
20140213,76849500
20140214,68231100
20140218,65062900
20140219,78442000
20140220,76464500
20140221,69696200
20140224,72227400
20140225,57988000
20140226,69054300
20140227,75470500
20140228,92992200
20140303,59695300
20140304,64785000
20140305,50015700
20140306,46372200
20140307,55182400
20140310,44646000
20140311,69806100
20140312,49831600
20140313,64435700
20140314,59299800
20140317,49886200
20140318,52411800
20140319,56189000
20140320,52099600
20140321,93511600
20140324,88925200
20140325,70573300
20140326,74942000
20140327,55507900
20140328,50141000
20140331,42167300
20140401,50190000
20140402,45105200
20140403,40586000
20140404,68812800
20140407,72462600
20140408,60972100
20140409,51542400
20140410,59913000
20140411,67929400
20140414,51418500
20140415,66622500
20140416,53691400
20140417,71083600
20140421,45637200
20140422,50640800
20140423,98735000
20140424,189977900
20140425,97568800
20140428,167371400
20140429,84344400
20140430,114160200
20140501,61012000
20140502,47878600
20140505,71766800
20140506,93641100
20140507,70716100
20140508,57574300
20140509,72899400
20140512,53302200
20140513,39934300
20140514,41601000
20140515,57711500
20140516,69064100
20140519,79438800
20140520,58709000
20140521,49214900
20140522,50190000
20140523,58052400
20140527,87216500
20140528,78870400
20140529,94118500
20140530,141005200
20140602,92337700
20140603,73177300
20140604,83870500
20140605,75951400
20140606,87484600
20140609,75415000
20140610,62777000
20140611,45681000
20140612,54749000
20140613,54525000
20140616,35561000
20140617,29726000
20140618,33514000
20140619,35528000
20140620,100898000
20140623,43694000
20140624,39036000
20140625,36869000
20140626,32629000
20140627,64029000
20140630,49589000
20140701,38223000
20140702,28465000
20140703,22891800
20140707,56468000
20140708,65222000
20140709,36436000
20140710,39686000
20140711,34018000
20140714,42810000
20140715,45477900
20140716,53502000
20140717,57298000
20140718,49988000
20140721,39079000
20140722,55197000
20140723,92918000
20140724,45729000
20140725,43469000
20140728,55318000
20140729,43143000
20140730,33010000
20140731,56843000
20140801,48511000
20140804,39958000
20140805,55933000
20140806,38558000
20140807,46711000
20140808,41865000
20140811,36585000
20140812,33795000
20140813,31916000
20140814,28116000
20140815,48951000
20140818,47572000
20140819,69399000
20140820,52699000
20140821,33478000
20140822,44184000
20140825,40270000
20140826,33152000
20140827,52369000
20140828,68460000
20140829,44595000
20140902,53564000
20140903,125421000
20140904,85718000
20140905,58457000
20140908,46356700
20140909,189846300
20140910,100869600
20140911,62353100
20140912,64096900
20140915,61316500
20140916,66908100
20140917,60926500
20140918,37299400
20140919,70902400
20140922,52788400
20140923,63402200
20140924,60171800
20140925,100092000
20140926,62370500
20140929,49766300
20140930,55264100
20141001,51491300
20141002,47757800
20141003,43469600
20141006,37051200
20141007,42094200
20141008,57404700
20141009,77376500
20141010,66331600
20141013,53583400
20141014,63688600
20141015,100933600
20141016,72154500
20141017,68179700
20141020,77517300
20141021,94623900
20141022,68263100
20141023,71074700
20141024,47053900
20141027,34187700
20141028,47939900
20141029,52687900
20141030,40654800
20141031,44639300
20141103,52282600
20141104,41574400
20141105,37435900
20141106,34968500
20141107,33691500
20141110,27195500
20141111,27442300
20141112,46942400
20141113,59522900
20141114,44063600
20141117,46746700
20141118,44224000
20141119,41869200
20141120,43395500
20141121,57179300
20141124,47450800
20141125,68840400
20141126,40768300
20141128,24814400
20141201,83814000
20141202,59075100
20141203,43063400
20141204,42044500
20141205,38318900
20141208,57664900
20141209,60208000
20141210,44565300
20141211,41401700
20141212,56028100
20141215,67218100
20141216,60790700
20141217,53411800
20141218,59006200
20141219,88429800
20141222,45167500
20141223,26028400
20141224,14479600
20141226,33721000
20141229,27598900
20141230,29881500
20141231,41403400
