20140102,58671200,11
20140103,98116900,9
20140106,103152700,10
20140107,79302300,12
20140108,64632400,10
20140109,69787200,9
20140110,76244000,4
20140113,94623200,12
20140114,83140400,4
20140115,97909700,13
20140116,57319500,8
20140117,106684900,5
20140121,82131700,3
20140122,94996300,12
20140123,100809800,9
20140124,107338700,11
20140127,138719700,14
20140128,266380800,14
20140129,125702500,6
20140130,169625400,11
20140131,116199300,6
20140203,100366000,7
20140204,94170300,16
20140205,82086200,7
20140206,64441300,5
20140207,92570100,9
20140210,86389800,16
20140211,70564200,8
20140212,77025200,14
20140213,76849500,12
20140214,68231100,6
20140218,65062900,7
20140219,78442000,6
20140220,76464500,10
20140221,69696200,8
20140224,72227400,11
20140225,57988000,4
20140226,69054300,12
20140227,75470500,8
20140228,92992200,4
20140303,59695300,11
20140304,64785000,7
20140305,50015700,5
20140306,46372200,7
20140307,55182400,6
20140310,44646000,5
20140311,69806100,4
20140312,49831600,4
20140313,64435700,6
20140314,59299800,7
20140317,49886200,4
20140318,52411800,8
20140319,56189000,10
20140320,52099600,7
20140321,93511600,2
20140324,88925200,11
20140325,70573300,12
20140326,74942000,12
20140327,55507900,6
20140328,50141000,9
20140331,42167300,11
20140401,50190000,6
20140402,45105200,6
20140403,40586000,4
20140404,68812800,7
20140407,72462600,9
20140408,60972100,6
20140409,51542400,7
20140410,59913000,7
20140411,67929400,6
20140414,51418500,7
20140415,66622500,11
20140416,53691400,5
20140417,71083600,5
20140421,45637200,11
20140422,50640800,6
20140423,98735000,17
20140424,189977900,22
20140425,97568800,13
20140428,167371400,8
20140429,84344400,17
20140430,114160200,7
20140501,61012000,11
20140502,47878600,5
20140505,71766800,11
20140506,93641100,12
20140507,70716100,5
20140508,57574300,8
20140509,72899400,20
20140512,53302200,12
20140513,39934300,4
20140514,41601000,7
20140515,57711500,10
20140516,69064100,11
20140519,79438800,8
20140520,58709000,9
20140521,49214900,9
20140522,50190000,12
20140523,58052400,4
20140527,87216500,11
20140528,78870400,6
20140529,94118500,8
20140530,141005200,11
20140602,92337700,11
20140603,73177300,11
20140604,83870500,8
20140605,75951400,6
20140606,87484600,3
20140609,75415000,7
20140610,62777000,11
20140611,45681000,11
20140612,54749000,11
20140613,54525000,9
20140616,35561000,6
20140617,29726000,12
20140618,33514000,8
20140619,35528000,10
20140620,100898000,6
20140623,43694000,5
20140624,39036000,9
20140625,36869000,10
20140626,32629000,7
20140627,64029000,3
20140630,49589000,7
20140701,38223000,9
20140702,28465000,4
20140703,22891800,11
20140707,56468000,8
20140708,65222000,11
20140709,36436000,10
20140710,39686000,12
20140711,34018000,12
20140714,42810000,9
20140715,45477900,8
20140716,53502000,14
20140717,57298000,9
20140718,49988000,8
20140721,39079000,10
20140722,55197000,11
20140723,92918000,16
20140724,45729000,8
20140725,43469000,6
20140728,55318000,10
20140729,43143000,13
20140730,33010000,6
20140731,56843000,8
20140801,48511000,7
20140804,39958000,2
20140805,55933000,3
20140806,38558000,10
20140807,46711000,5
20140808,41865000,4
20140811,36585000,5
20140812,33795000,7
20140813,31916000,5
20140814,28116000,12
20140815,48951000,8
20140818,47572000,6
20140819,69399000,7
20140820,52699000,5
20140821,33478000,7
20140822,44184000,7
20140825,40270000,9
20140826,33152000,9
20140827,52369000,6
20140828,68460000,11
20140829,44595000,7
20140902,53564000,7
20140903,125421000,12
20140904,85718000,16
20140905,58457000,11
20140908,46356700,8
20140909,189846300,28
20140910,100869600,22
20140911,62353100,12
20140912,64096900,6
20140915,61316500,5
20140916,66908100,12
20140917,60926500,8
20140918,37299400,13
20140919,70902400,9
20140922,52788400,11
20140923,63402200,10
20140924,60171800,11
20140925,100092000,14
20140926,62370500,5
20140929,49766300,10
20140930,55264100,23
20141001,51491300,13
20141002,47757800,11
20141003,43469600,11
20141006,37051200,9
20141007,42094200,14
20141008,57404700,14
20141009,77376500,22
20141010,66331600,14
20141013,53583400,8
20141014,63688600,12
20141015,100933600,16
20141016,72154500,15
20141017,68179700,13
20141020,77517300,20
20141021,94623900,23
20141022,68263100,9
20141023,71074700,17
20141024,47053900,11
20141027,34187700,9
20141028,47939900,18
20141029,52687900,18
20141030,40654800,21
20141031,44639300,11
20141103,52282600,9
20141104,41574400,18
20141105,37435900,8
20141106,34968500,5
20141107,33691500,5
20141110,27195500,8
20141111,27442300,10
20141112,46942400,8
20141113,59522900,18
20141114,44063600,7
20141117,46746700,11
20141118,44224000,9
20141119,41869200,17
20141120,43395500,10
20141121,57179300,7
20141124,47450800,5
20141125,68840400,12
20141126,40768300,5
20141128,24814400,4
20141201,83814000,11
20141202,59075100,10
20141203,43063400,13
20141204,42044500,6
20141205,38318900,6
20141208,57664900,8
20141209,60208000,10
20141210,44565300,10
20141211,41401700,8
20141212,56028100,6
20141215,67218100,11
20141216,60790700,12
20141217,53411800,10
20141218,59006200,5
20141219,88429800,5
20141222,45167500,7
20141223,26028400,7
20141224,14479600,4
20141226,33721000,0
20141229,27598900,7
20141230,29881500,10
20141231,41403400,4
